,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
927,Crowdsensing spatial data to follow epidemic evolution: Poster abstract,5.0,21.65,3.0,20.21
928,Itocon - A system for visualizing the congestion of bus stops around Ito campus in real-time: Poster abstract,3.0,34.39,0.0,19.38
929,"BluBLE, space-time social distancing to monitor the spread of COVID-19: Poster abstract",3.0,28.36,4.0,17.21
930,Development of the portal site of COVID-19 data in Japan: Poster abstract,5.0,34.52,0.0,18.78
931,SelfGuard: Semi-automated activity tracking for enhancing self-protection against the COVID-19 pandemic: Poster abstract,3.0,27.52,0.0,17.38
932,Contact analysis on COVID-19 using a campus network: Poster abstract,3.0,24.58,5.0,15.97
933,Towards ICT based mobility support system with in the COVID-19 era: Poster abstract,3.0,31.31,5.0,16.09
934,Mitigating denial-of-service attacks on digital contact tracing: Poster abstract,3.0,32.87,5.0,14.51
935,Low-cost multi-person continuous skin temperature sensing system for fever detection: Poster abstract,3.0,30.45,1.0,24.62
936,Identifying human contact points on environmental surfaces using heat traces to support disinfect activities: Poster abstract,3.0,23.42,1.0,16.97
937,ThermoTrak: Smartphone based real-time fever screening: Demo abstract,1.0,22.29,3.0,22.13
938,How blockchain helps to combat trust crisis in COVID-19 pandemic?: Poster abstract,3.0,30.26,6.0,18.61
939,The CORONA business in modern cities: Poster abstract,6.0,21.86,4.0,17.14
940,VenueTrace: A privacy-by-design COVID-19 digital contact tracing solution: Poster abstract,3.0,43.22,5.0,11.82
941,Automating decontamination of N95 masks for frontline workers in COVID-19 pandemic: Poster abstract,3.0,31.93,1.0,18.46
942,CoPED: A smartwatch based voice cognitive assistant for the pandemic and beyond: Demo abstract,6.0,23.71,3.0,19.27
943,Person tracking and identification using cameras and wi-fi channel state information (CSI) from smartphones: Dataset,3.0,29.31,4.0,16.45
944,Understanding the Effects of Human Factors on the Spread of COVID-19 Using a Neural Network,4.0,24.76,1.0,24.37
945,Identifying Factors in COVID-19 AI Case Predictions,4.0,35.42,1.0,17.4
946,Mortality prediction for COVID-19 patients via Broad Learning System,1.0,30.98,4.0,21.97
947,The awareness and application of multimedia tools for information literacy instruction at an African university,0.0,39.12,6.0,19.06
948,Data science tools in the analysis of developing inquiry skills and computational thinking within the 'IT Academy' Project,0.0,33.04,5.0,26.93
949,Parametric audio quality estimation models for broadcasting systems and web-casting applications based on the Genetic Programming,3.0,27.71,0.0,20.81
950,Real-time online courses during emergency situation in Hungary,0.0,36.71,3.0,14.15
951,Teaching Course on Algorithms and Data Structures during the Coronavirus Pandemic,0.0,44.01,3.0,12.83
952,Proposal of Virtual Classroom Network's concept based on VXLAN's in the COVID-19 context: The experience of Ecole Superieure Polytechnique of Dakar,0.0,24.46,3.0,21.05
953,E-learning Can Reduce the Negative Impact of COVID-19 in Teaching Mathematics,0.0,35.36,1.0,13.92
954,Technical Challenges and Vision of Slovak National Telepresence Infrastructure during the COVID-19 Pandemic,3.0,24.7,0.0,19.84
955,Management of Cybersecurity Incidents in Virtual Lab,0.0,32.23,6.0,15.16
956,The acceptance of electronic learning in transition economies: Evidence from the Republic of Serbia,6.0,24.8,0.0,19.99
957,The Creation of Simulation with an Algorithm Optimisation in Java for the Teaching Process,5.0,23.65,0.0,16.47
958,"Biometric Technologies for eLearning: State-of-the-Art, Issues and Challenges",3.0,24.31,0.0,21.92
959,Blended Learning as a Way of Teaching in the Pandemic Period,0.0,41.04,5.0,14.06
960,Predicting Employees under Stress for Pre-emptive Remediation using Machine learning Algorithm,6.0,26.7,1.0,20.65
961,Temperature and Saturation level monitoring system using MQTT for COVID-19,3.0,36.02,5.0,16.33
962,An approach for semantic-based searching in learning resources,5.0,25.95,0.0,23.57
963,Design and Development of an Elbow Exoskeleton for Home Therapy,3.0,40.69,0.0,12.79
964,Rapid implementation of Microsoft Teams in response to COVID-19: One acute healthcare organisation's experience,0.0,23.29,3.0,19.72
965,Identification of Factor Affecting Continuance Usage Intention of mHealth Application : A Systematic Literature Review,6.0,33.4,3.0,30.34
966,Impact through engagement: Co-production of administrative data research and the approach of the Administrative Data Research Centre Northern Ireland,6.0,23.39,5.0,22.21
967,Was Vector a Companion during Shutdown?: Insights from an Ethnographic Study in Austria,6.0,20.36,0.0,17.37
968,Virtual Double-System Single-Box: A Nonequilibrium Alchemical Technique for Absolute Binding Free Energy Calculations: Application to Ligands of the SARS-CoV-2 Main Protease,2.0,56.35,1.0,11.51
969,At Your Service: Coffee Beans Recommendation from a Robot Assistant,1.0,19.34,5.0,18.41
970,Assessing the Reality Gap of Robotic Simulations with Educational Purposes,3.0,17.88,1.0,17.59
971,Dribbler and Kicker Systems to Small Size Soccer League Robots: A Study and Project to Latin American Robotics Competition,3.0,24.26,0.0,20.79
972,Educational Robotics in Times of Pandemic: Challenges and Possibilities,0.0,22.95,3.0,19.93
973,Data-Driven Characterization and Detection of COVID-19 Themed Malicious Websites,6.0,25.63,1.0,16.61
974,"The Four-Stages Strategies on Social Media to Cope with ""Infodemic"" and Repair Public Trust: Covid-19 Disinformation and Effectiveness of Government Intervention in China",6.0,36.08,4.0,17.45
975,Characterizing the Landscape of COVID-19 Themed Cyberattacks and Defenses,6.0,27.72,5.0,18.75
976,Analyzing the Evolutionary Characteristics of the Cluster of COVID-19 under Anti-contagion Policies,5.0,25.47,4.0,20.54
977,Towards modelling autonomous mobile robot localization by using sensor fusion algorithms,1.0,29.39,3.0,29.05
978,Prediction of 2019-nCoV Epidemic by Linear Regression Model,4.0,34.27,1.0,15.15
979,Design of Knowledge Graph of Traditional Chinese Medicine Prescription and Knowledge Analysis of Implicit Relationship,5.0,28.98,2.0,26.92
980,Evaluation of COVID-19 Epidemic Based on SIR Model,4.0,30.4,5.0,16.86
981,Adapting to online teaching in software engineering courses,0.0,48.65,6.0,11.73
982,Proximity Tracing in an Ecosystem of Surveillance Capitalism,3.0,51.31,6.0,10.32
983,Privacy in Crisis: Participants' Privacy Preferences for Health and Marketing Data during a Pandemic,3.0,24.98,5.0,18.37
984,"Towards automated, provenance-driven security audit for git-based repositories: Applied to germany's corona-warn-App: Vision paper",3.0,25.33,5.0,20.59
985,Long Live Randomization: On Privacy-preserving Contact Tracing in Pandemic,3.0,38.64,2.0,13.41
986,Empowering children to make and shape our digital futures – from adults creating technologies to children transforming cultures,6.0,51.75,0.0,15.5
987,Sentiment urgency emotion conversion over time for business intelligence,5.0,29.85,6.0,25.63
988,"Rethinking and reinventing learning, education and collaboration in the digital age—from creating technologies to transforming cultures",0.0,34.64,6.0,32.68
989,WEB Predictor COVIDz: Deep Learning for COVID-19 Disease Detection from chest X-rays,1.0,27.97,4.0,17.74
990,Forecast of the number of new patients and those who died from COVID-19 in Bahrain,4.0,25.3,1.0,14.11
991,Machine Learning for Strategic Decision Making during COVID-19 at Higher Education Institutes,1.0,25.18,5.0,23.37
992,A comparative study of different feature extraction techniques for identifying COVID-19 patients using chest X-rays images,1.0,34.28,2.0,13.62
993,Talent Optimization in Faculty Recruitment in the Post-COVID-19 Era,0.0,21.48,6.0,19.09
994,Assessing the COVID-19 Performance Indicators Used in the Portuguese Daily Situation Report,5.0,27.76,0.0,14.18
995,Embracing of Fintech in Islamic Finance in the post COVID era,6.0,41.64,5.0,11.17
996,Technology Applications for Health Safety Decision Making under COVID-19 Pandemic Management,3.0,26.22,5.0,22.34
997,Pandemic Stabilizer using Smartwatch,3.0,31.15,4.0,21.96
998,Consumer Vehicle Purchase Decision-making during COVID-19,6.0,27.95,5.0,17.63
999,Payout Decision pre- And during COVID-19: Evidence from Bahrain,6.0,26.0,5.0,15.88
1000,PUMP FIT: An Augmented Reality Application Which Helps People with Their Workout More Efficiently,0.0,28.0,5.0,18.73
1001,Optimal planning framework of three phase unbalanced distribution system using multiple DG and DSTACOM under different loading condition,3.0,25.5,1.0,19.89
1002,The SARS-CoV-2 and its Similarity to Other Bat-Derived SARS-like Coronaviruses: A Data-Driven Study,2.0,51.21,5.0,14.73
1003,Research on blended learning mode based on network,0.0,44.36,1.0,15.08
1004,Perspectives of the use of ICT for the teaching-learning process among Peruvian university students and lecturers during the COVID-19 pandemic,0.0,57.84,4.0,9.02
1005,View from Public Health to Molecular Biology on Coronavirus Disease 2019 (COVID-19),2.0,21.68,4.0,19.7
1006,Viewing the Development Process of Coronavirus from the Diagnosis and Treatment of New Coronavirus,2.0,32.48,4.0,20.15
1007,A Molecular View of Coronavirus Disease-2019 (COVID-19),2.0,53.95,5.0,9.61
1008,Study on Traditional Chinese Medicine for Treating COVID-19,2.0,35.58,4.0,17.86
1009,Stop the Spread of COVID-19 with Digital Health: A Real-World Case Study,4.0,25.22,3.0,19.26
1010,Modelling Chinese COVID-19 Cases Using SIR Model,4.0,40.48,5.0,11.95
1011,"Blockchain Technology and Higher Education: Characteristics, Dilemma and Development Path",0.0,30.01,6.0,17.52
1012,Online Learning in COVID-19 Pandemic: An Investigation of Mathematics Teachers' Perception,0.0,61.1,5.0,9.09
1013,"Directly Hit the COVID-19: Research on Online Education under ""suspended Class, Ongoing Learning",0.0,33.8,6.0,23.77
1014,Students' Voice on the NET Formative Writing Feedback in Emergency Remote Teaching during the COVID-19 Period,0.0,51.04,5.0,13.78
1015,Recognizing COVID-19 positive: Through CT images,1.0,40.88,4.0,14.19
1016,A susceptible-exposed-infected-quarantined-recovered (SEIQR) model for predicting the trajectory of the COVID-19 epidemic,4.0,34.5,1.0,18.77
1017,Analysis on the Development Trend of COVID-19 Outbreak in Beijing Based on the Cluster Analysis and SEIR Model,4.0,44.99,5.0,21.89
1018,Automatic Segmentation of COVID-19 CT Images using improved MultiResUNet,1.0,34.37,4.0,17.5
1019,Autocorrelation Sequence Prediction Model Based on Reference Function Transformation: Taking Epidemic Prediction As An Example,4.0,25.06,5.0,19.23
1020,Prevention and Control Strategy for Multi-group Epidemics Based on Delay and Isolation Control,4.0,43.96,1.0,14.12
1021,Twitter sentiment analysis during unlock period of COVID-19,5.0,26.16,6.0,20.26
1022,A secure and distributed framework for sharing COVID-19 patient reports using consortium blockchain and IPFS,3.0,42.17,5.0,11.89
1023,A secured automated Attendance Management System implemented with Secret Sharing Algorithm,3.0,37.48,0.0,14.01
1024,Indian health care system is ready to fight against covid-19 a machine learning tool for forecast the number of beds,4.0,29.63,3.0,21.69
1025,Forecasting the trend of Covid-19 epidemic,4.0,48.32,3.0,11.45
1026,COVID-19 Spread prediction Based on Food Categories using Data Science,4.0,38.08,5.0,20.46
1027,Time Series Analysis of the Covid-19 Datasets,4.0,27.37,5.0,26.57
1028,Biometric Identification Using Gait Analysis by Deep Learning,3.0,25.51,1.0,16.85
1029,Framework for Managing Servers or Cluster of Servers hardware Controlled by Raspberry pi or Servers,3.0,34.41,5.0,20.36
1030,COVID-19: Disease Pattern Study based on Semantic-Web Approach using Description Logic,5.0,42.97,2.0,10.12
1031,Prediction of resumed production trajectories in the post-epidemic area based on big power data,5.0,20.52,6.0,19.57
1032,Contact Tracing Apps for COVID-19: Access Permission and User Adoption,3.0,42.7,5.0,12.54
1033,The Influence of National Identity on Prosocial Behavior: The Mediating and Moderating Role of Subjective Perceptions of COVID-19 Pandemic,6.0,45.92,0.0,13.51
1034,Towards a Taxonomy for Evaluating Societal Concerns of Contact Tracing Apps,3.0,26.97,5.0,22.76
1035,"Sentiment, Count and Cases: Analysis of Twitter discussions during COVID-19 Pandemic",5.0,27.91,4.0,25.16
1036,"Pathogen Prevalence, Collectivism and Online Sadness Expression in China *: For Special Track 'Covid-19 and Computational Social Psychology'",6.0,22.55,4.0,19.14
1037,Covid-19 increased collectivistic expression on Sina Weibo,4.0,27.7,5.0,16.73
1038,A Novel Ensemble Machine Learning Method to Detect Phishing Attack,1.0,41.81,3.0,20.27
1039,Impacts of COVID-19 on Power Sector and the Role of ICT,3.0,25.15,6.0,24.22
1040,Deep learning based diagnosis of COVID-19 using chest CT-scan images,1.0,46.28,4.0,16.51
1041,Automated Robotic System for Assistance of Isolated Patients of Coronavirus (COVID-19),3.0,43.99,6.0,12.56
1042,Suraksha: Low Cost Device to Maintain Social Distancing during CoVID-19,3.0,32.63,4.0,19.76
1043,Understanding the Applications of Natural Language Processing on COVID-19 Data,5.0,30.53,0.0,13.78
1044,Prototype for Integration of Face Mask Detection and Person Identification Model - COVID-19,1.0,25.45,3.0,22.71
1045,Resume Scanning and Emotion Recognition System based on Machine Learning Algorithms,1.0,20.1,3.0,16.88
1046,AI and IoT Solutions for Tackling COVID-19 Pandemic,6.0,20.19,3.0,17.59
1047,IoT Based Intelligent Building Applications in the Context of COVID-19 Pandemic,3.0,38.69,6.0,15.18
